subject_id,Age
8171,10.58
8175,11.64
8191,15.44
8200,19.77
8201,19.34
8210,22.47
8211,22.45
8217,13.6
8320,12.56
8322,12.95
8324,12.68
8325,12.22
8338,14.02
8357,18.82
8359,19.52
8365,20.93
8367,20.48
8368,20.06
8377,21.47
8388,8.91
8392,11.08
8403,14.9
8423,9.32
8427,11.61
8468,20.64
8469,20.88
8474,20.67
8551,8.24
8558,9.01
8559,10.18
8564,10.9
8566,10.49
8568,10.37
8574,10.91
8582,11.62
8584,11.51
8587,11.74
8589,11.97
8595,12.08
8599,12.69
8607,13.56
8609,13.95
8610,13.28
8615,13.87
8619,13.44
8620,13.31
8624,14.42
8632,14.62
8633,14.83
8661,16.49
8674,17.87
8676,18.94
8678,18.79
8684,18.74
8687,19.34
8699,19.45
8700,19.67
8702,19.13
8706,20.97
8716,21.65
8719,21.57
8731,23.87
8732,23.32
8734,24
8735,23.51
8771,22.96
8775,22.65
8778,22.81
8779,22.77
8819,18.71
9000,21.34
9147,8.57
9151,14.7
9154,14.05
9157,15.36
9159,15.8
9160,15.11
9164,15.24
9170,17.92
9178,22.13
9180,12.83
9444,9.82
9460,16.19
9627,16
9642,16.37
9677,21.88
9759,15.24
9888,7.05
9986,23.62
10009,18.53
10010,21.6
10031,8.51
10037,10.75
10038,18.05
10040,9.37
10044,9.24
10045,21.55
10172,7.25
10510,8.2
10520,7.8
10521,16.47
10589,23.86
10608,8.62
10686,17.14
11122,7.81
11193,7.03
11194,15.66
11405,7.54
11480,17.28
12223,7.02
12454,16.51
12455,9.83
12605,17.04
12878,8.38
13403,9.25
13778,18.21
13782,18.6
14425,18.51
14427,22.42
14485,16.34